component,feature,pearson_correlation,abs_correlation,selected_for_model
tendency,roll7_mean,0.8948085407941441,0.8948085407941441,True
tendency,roll28_mean,0.893172374713352,0.893172374713352,True
tendency,time_idx,0.6751481337088856,0.6751481337088856,True
tendency,roll28_std,0.6645050008905541,0.6645050008905541,True
tendency,lag_1,0.6382182959925552,0.6382182959925552,True
tendency,staffing_level_fte_lag1,0.6291995301562907,0.6291995301562907,True
tendency,doy_cos,0.6208318407632119,0.6208318407632119,True
tendency,lag_7,0.5776583754276362,0.5776583754276362,True
tendency,lag_14,0.5346601320070231,0.5346601320070231,False
tendency,roll7_std,0.5197720514961274,0.5197720514961274,False
tendency,lag_28,0.5148996951447382,0.5148996951447382,False
tendency,backlog_days_lag1,0.38787150080222194,0.38787150080222194,False
tendency,media_mentions_lag1,-0.0768527576002805,0.0768527576002805,False
tendency,pct_change_7,0.0727809200749204,0.0727809200749204,False
tendency,mom_1_7,0.058574851598080874,0.058574851598080874,False
tendency,doy_sin,0.054246459863188635,0.054246459863188635,False
tendency,is_month_end,0.02222341964101604,0.02222341964101604,False
tendency,bank_holiday_flag_lag1,0.01924165728374785,0.01924165728374785,False
tendency,channel_mix_index_lag1,0.016596618503463778,0.016596618503463778,False
tendency,is_month_start,0.005221730124079479,0.005221730124079479,False
tendency,dow_cos,0.002847561293795017,0.002847561293795017,False
tendency,dow_sin,0.0011377051589229266,0.0011377051589229266,False
tendency,is_weekend,0.00026130019774855067,0.00026130019774855067,False
period,dow_cos,0.3750143330967547,0.3750143330967547,True
period,lag_7,0.2801760338545933,0.2801760338545933,True
period,dow_sin,0.25602692331375154,0.25602692331375154,True
period,lag_14,0.2437424853853438,0.2437424853853438,True
period,mom_1_7,-0.23705306670961396,0.23705306670961396,True
period,pct_change_7,-0.16293044910921214,0.16293044910921214,True
period,is_weekend,-0.12653653169642326,0.12653653169642326,True
period,lag_28,0.10990175785660607,0.10990175785660607,True
period,staffing_level_fte_lag1,0.0673324383694373,0.0673324383694373,False
period,is_month_end,-0.06269084141725811,0.06269084141725811,False
period,is_month_start,0.05789187938894745,0.05789187938894745,False
period,backlog_days_lag1,0.057113028227824936,0.057113028227824936,False
period,media_mentions_lag1,0.026020359629087546,0.026020359629087546,False
period,lag_1,0.016079495676900663,0.016079495676900663,False
period,roll7_std,-0.012119422558605675,0.012119422558605675,False
period,channel_mix_index_lag1,-0.009893585720133968,0.009893585720133968,False
period,bank_holiday_flag_lag1,0.007305995784859368,0.007305995784859368,False
period,roll7_mean,-0.0046375561911214825,0.0046375561911214825,False
period,roll28_std,-0.0034680627300263086,0.0034680627300263086,False
period,doy_cos,0.002637706638297373,0.002637706638297373,False
period,roll28_mean,-0.002421405689216439,0.002421405689216439,False
period,time_idx,0.0014235677183090521,0.0014235677183090521,False
period,doy_sin,0.0003275643357947092,0.0003275643357947092,False
noise,lag_7,-0.15737918360827047,0.15737918360827047,True
noise,lag_14,-0.11185376338921939,0.11185376338921939,True
noise,roll7_mean,-0.09325180814772932,0.09325180814772932,True
noise,mom_1_7,0.08618230599043357,0.08618230599043357,True
noise,lag_1,-0.06096189120858917,0.06096189120858917,True
noise,doy_cos,-0.04986451764123882,0.04986451764123882,True
noise,roll28_mean,-0.04861630640229954,0.04861630640229954,True
noise,is_weekend,0.04559888865572737,0.04559888865572737,True
noise,is_month_start,-0.04292686553761734,0.04292686553761734,False
noise,roll7_std,-0.04178550693113573,0.04178550693113573,False
noise,dow_sin,-0.03346986098966055,0.03346986098966055,False
noise,roll28_std,-0.030999722872289644,0.030999722872289644,False
noise,backlog_days_lag1,-0.028768612996250973,0.028768612996250973,False
noise,pct_change_7,0.028727436550273187,0.028727436550273187,False
noise,is_month_end,-0.027274029806229606,0.027274029806229606,False
noise,channel_mix_index_lag1,-0.026512208580647654,0.026512208580647654,False
noise,time_idx,-0.020343113533038103,0.020343113533038103,False
noise,media_mentions_lag1,-0.02000281074062413,0.02000281074062413,False
noise,dow_cos,0.01742179117356076,0.01742179117356076,False
noise,doy_sin,0.016722917141616573,0.016722917141616573,False
noise,staffing_level_fte_lag1,-0.014214403168759101,0.014214403168759101,False
noise,bank_holiday_flag_lag1,-0.011046704580470433,0.011046704580470433,False
noise,lag_28,-0.003599189979669331,0.003599189979669331,False
